,Heidelberg,Freiburg im Breisgau,Mannheim,Karlsruhe,Baden-Baden,Buehl,Offenburg,Lahr/Schwarzwald,Loerrach
Heidelberg,,120,24,50,67,71,88,98,150
Freiburg im Breisgau,,,125,85,68,62,45,39,48
Mannheim,,,,53,74,77,95,106,160
Karlsruhe,,,,,31,35,51,61,115
Baden-Baden,,,,,,16,36,46,98
Buehl,,,,,,,30,40,92
Offenburg,,,,,,,,26,80
Lahr/Schwarzwald,,,,,,,,,70
Loerrach,,,,,,,,,
